Name,Award Criteria,Num of Tiers,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Reward Tier 1,Reward Tier 2,Reward Tier 3,Reward Tier 4,Reward Tier 5,Reward Tier 6,Sequential,Version,Unique Entry ID
(island name) Miles!,Awarded when Nook Miles program is first unlocked,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,QvQq6d4qJgCiBkMLX
Angling for Perfection!,Number of total fish caught,5,10,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,1.0.0,wkj9WzycBpxtq6CDG
Island Ichthyologist,Number of unique fish caught,5,10,20,40,60,80,300,500,1000,2000,3000,0,Yes,1.0.0,Ajpkv8wXcZLqM8bMT
Island Togetherness,Number of days in which you've talked to every one of your villagers,5,1,10,20,30,50,300,500,1000,2000,3000,0,Yes,1.0.0,syoxyxWL7ymwpKpGN
You've Got the Bug,Number of total bugs caught,5,10,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,1.0.0,weJ4f9MDdBuzLBrBM
Bugs Don't Bug Me,Number of unique bugs caught,5,10,20,40,60,80,300,500,1000,2000,3000,0,Yes,1.0.0,ttRSm74XC4MzSHgnX
Have a Nice DIY!,Number of DIY recipes collected,5,10,50,100,150,200,300,500,1000,2000,3000,0,Yes,1.0.0,fsanquagmfwNCY8wW
DIY Tools,Number of tools you've crafted,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,6k5CnRgbm55m93jMT
DIY Furniture,Number of furniture pieces you've crafted,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,TprrYjwsCvZbDdcvK
Furniture Freshener,Number of times you've customized furniture at a workbench,5,5,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,viHJXo8XB8C3h259Q
Rough-hewn,Number of times you've chopped wood from trees,5,20,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,1.0.0,btjGeCA3qDRLwhuZE
Trashed Tools,Number of tools you've broken,5,1,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,YhhXqkerTwLu4ewXi
Rock-Splitting Champ,Awarded the first time you get 8 ores/stones from striking a rock,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,hgxFRczyFtmSmiTEG
Bona Fide Bone Finder!,Awarded the first time you dig up a fossil,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,za7CbkxtzEysWCFJg
Fossil Assessment,Number of fossils you've had assessed by Blathers,5,5,30,100,300,500,300,500,1000,2000,3000,0,Yes,1.0.0,SYs89hReg8PJPhi7b
Greedy Weeder,Number of weed clumps you've sold to the shop,5,50,200,1000,2000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,MRjh6LGccgw56xxca
Flower Power,Number of flower seeds you've planted (does not count digging up and replanting existing flowers),5,10,50,100,200,300,300,500,1000,2000,3000,0,Yes,1.0.0,aub4aeJa7i4ps92vt
Flower Tender,Number of flowers you've watered,5,10,50,100,500,1000,300,500,1000,2000,3000,0,Yes,1.0.0,8JeajqbS7bHbJ4KPH
Tomorrow's Trees Today,Number of tree saplings you've planted (does not count planting fruits or replanting existing trees),3,5,10,30,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,eeDWd35DjuJy7CsM5
Pick of the Bunch,Number of fruits you've sold to the shop,5,20,100,500,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,tGg8gEWooCRFAn2Km
Fruit Roots,"Awarded for each unique fruit tree you've planted (cherry, orange, pear, peach, apple, and coconut)",6,0,0,0,0,0,100,200,300,500,700,1000,No,1.0.0,tNSnLaumH2MbDMSqK
Shrubbery Hububbery,Number of shrub starts you've planted (replanting existing shrubs),3,1,2,20,0,0,300,500,1000,0,0,0,Yes,1.2.0,kosAYGQuM92yWsRZx
Go Ahead. Be Shellfish!,Number of seashells you've sold to the shop,5,10,50,200,500,1000,300,500,1000,2000,3000,0,Yes,1.0.0,eycL6Ntub97uvKwgB
Clam and Collected,Number of clams you've dug up,5,5,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,MsKyNAx2BBitXF4SQ
Trash Fishin',"Number of trash items (cans, tires, or boots) you've fished up",3,3,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,gYpEcg4qf7X46Svfz
Cast Master,Number of fish you've caught in a single streak without any getting away,3,10,50,100,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,PcXyzjRR7mMRJMpWA
Dream House,Number of times you've expanded your home,5,1,2,5,6,7,500,1000,2000,3000,5000,0,Yes,1.0.0,FLDPYLE7KWu8S9uPg
Decorated Decorator,"Awarded the first time you get an ""S"" ranking from the HHA",1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,kzJaqFiCaRivejX2x
Hoard Reward,Number of furniture pieces you've placed in your house,5,5,15,30,100,150,300,1000,2000,3000,5000,0,Yes,1.0.0,k6RF4XJhEdk3DWupM
Good Things in Store!,Number of items you've placed in your home storage,5,20,50,100,200,300,300,1000,2000,3000,5000,0,Yes,1.0.0,vmFkmQFGyKNS6gPdo
Remarkable Remodeler,Number of times you've remodeled the outside appearance of your home,3,1,3,5,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,ZqLiA9gGSKTBGZQgZ
Smile Isle,Number of villager requests you've fulfilled (such as returning lost items),5,1,10,50,100,300,300,500,1000,2000,3000,0,Yes,1.0.0,2Cf5yBG3NFSeozMg2
Reaction Ruler,Number of reactions you've learned,5,1,10,20,30,42,300,500,1000,2000,3000,0,Yes,1.0.0,GRKenaH9cZf7SF3io
Island Shutterbug,"Awarded the first time you take a photo using the camera app on the NookPhone (screenshot button does not count, must use the app)",1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,amPim5PB25MTaEnZH
Edit Credit,"Awarded the first time you edit your Passport (title, comment, or photo)",1,1,0,0,0,0,300,1000,2000,3000,5000,0,Yes,1.0.0,97AnkL7nAoQsXaCR8
NookPhone Life,Awarded after the 10th time you open your NookPhone,1,10,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,38g3QBF9r9HdzdhA5
That's One Smart Phone,Awarded after the 1000th time you open your NookPhone,1,1000,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,usRtbx9sTQwpwKzT3
Shop to It,Number of times you've ordered from the Nook Shopping catalog,5,1,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,7rQbwihnNhEFFZmQo
Growing Collection,Number of unique furniture pieces you've added to your catalog,5,100,200,300,400,500,300,500,1000,2000,3000,0,Yes,1.0.0,nbEPYsfFJzwG8bozx
Nook Miles for Miles!,Number of Nook Miles+ goals you've completed,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,6Qsg6ca6qcXfQJvd9
First-Time Buyer,Awarded the first time you purchase an item from a shop,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,dRgaFTqnG9WJ3nDPj
Seller of Unwanted Stuff,Awarded the first time you sell and item to a shop,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,SaJbYEBdon4j2HiML
Moving Fees Paid!,Awarded when you pay off your initial loan using Nook Miles,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,rQJoK5E25RSskQeW5
Bell Ringer,Number of total bells you've spent in shops,5,5000,50000,500000,2000000,5000000,300,500,1000,2000,3000,0,Yes,1.0.0,r5mJC5k8vYuZRkXJT
Miles for Stalkholders,Awarded the first time you purchase turnips,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,AzYYmDqvumcZwmqFf
Cornering the Stalk Market,Number of total bells you've profited from selling turnips,5,1000,10000,100000,1000000,10000000,300,500,1000,2000,3000,0,Yes,1.0.0,gvMPEpKkGPLmEeDPe
No More Loan Payments!,Awarded after paying off your first house loan with bells,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,uhbojHTBeM2Cnfkuh
Bulletin-Board Benefit,Awarded the first time you post a message on your town bulletin board,1,1,0,0,0,0,300,1000,2000,3000,5000,0,Yes,1.0.0,rZLyEe6QGk9G7sLTP
Popular Pen Pal,Number of letters you've sent,5,5,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,EJMKZDs8N5xGkfduP
Flea Flicker,Number of times you've caught fleas off a villager,3,1,5,10,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,WRvG4EsvYQbqJupxi
Cicada Memories,Awarded the first time you catch a cicada shell,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,t9vayZu88rPHrY79j
Netting Better!,Awarded the first time you catch five wasps in a row without running away or getting stung,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,ojjJY4tQvSCs3BYda
Pit-y Party!,Awarded the first time you bury a pitfall seed,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,MwQQ43gFXFky4Z2hG
Taking the Sting Out,Awarded the first time you get stung by a wasp,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,P82MkAcpWY9ZAQTnD
Faint of Heart,Awarded the first time you get knocked out by a Scorpion or Tarantula,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,NwntrWkuaxtB8NoL9
Overcoming Pitfalls,Awarded the first time you fall into a pitfall hole,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,DhKzQBem5HZytprbC
Faked Out!,Donated a fake piece of art,1,1,0,0,0,0,500,0,0,0,0,0,No,1.2.0,vakbzK5ihWAQR2aux
Lost Treasure,Awarded the first time a balloon present you shot lands in a body of water,1,1,0,0,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,Y2kKBHN6kT7zxkTbm
It's Raining Treasure!,Number of balloons you've shot down with a slingshot,5,5,20,50,100,300,300,500,1000,2000,3000,0,Yes,1.0.0,EEocBnCSkNM9ukMic
Fun with Fences,Awarded the first time you place a fence,1,20,0,0,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,fNCiNgcTMxFwqAzxN
Snowmaestro,Number of perfect snow-people you've built,3,1,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,XcwvgbKXNWiLjmJDX
Wishes Come True,Number of shooting stars you've wished on.,3,1,30,200,0,0,300,1000,2000,3000,5000,0,Yes,1.0.0,WcKhJsbYhwKKkCLqd
Exterior Decorator,Awarded the first time you place some furniture outside,1,10,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,TW2jrhLDvtDhjZAKx
(island name) Icons,Awarded for changing your town tune and island flag for the first time,2,0,0,0,0,0,500,500,2000,3000,5000,0,No,1.0.0,umpcvH5jtsWEir4rR
Island Designer,"Awarded the first time you use the Island Designer app to place a path, add/remove water, and build/destroy a cliff",3,0,0,0,0,0,500,1000,1000,3000,5000,0,No,1.0.0,NyFc3PaM4omZLfuic
Wispy Island Secrets,Number of times you've helped Wisp find the parts of his spirit,3,1,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,nSkcG8gSanouEFg9x
Gulliver's Travails,Number of times you've helped Gulliver fix his communicator,3,1,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,GfHAM2edJCAAN9xsF
K.K. Mania,Number of K.K. shows you've attended,5,1,10,30,60,100,300,500,1000,2000,3000,0,Yes,1.0.0,aNZ2t8CH7dgpRefc3
True Patron of the Arts,Number of times you purchased art that turned out to be real,3,1,10,20,0,0,300,500,1000,0,0,0,Yes,1.2.0,YTpzbNPue2fAe3FdS
True Friends,Number of villagers you've become good friends with,3,1,2,3,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,ZD7xtJZTo9mGk9tTk
Birthday Celebration,Number of villager birthdays you've attended,3,1,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,5TKJXZPvrkPLiQ6XC
Happy Birthday!,Awarded the first time you play on your character's birthday,1,1,0,0,0,0,2000,500,1000,2000,3000,0,Yes,1.0.0,6vc2Rm2s3rE9EFZoM
Fishing Tourney!,Awarded the first time you attend a fishing tourney in each season,4,0,0,0,0,0,300,500,1000,2000,3000,5000,No,1.0.0,Z2C4JGKnsPJqhyDFM
Bug-Off!,Awarded the first time you attend a bug-off tourney in each season,4,0,0,0,0,0,300,500,1000,2000,3000,5000,No,1.0.0,HQJJaicSZQ79LstpA
Countdown Celebration,Awarded for attending the new year holiday event,1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,PTMwJTvnX3A4gxjN9
Making a Change,Awarded the first time you use a wardrobe to change your character's outfit,1,1,0,0,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,NBmsw6tCLZzWXcGcK
First Custom Design!,Awarded the first time you use the Custom Design app to edit or create a design,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,44KNAwCSGuatXHYeh
Custom Design Pro!,Awarded the first time you use the Custom Design pro app to edit or create a design,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,ch29owdtPq5Jd73xx
Paydirt!,Awarded the first time you dig up bells from a shining spot,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,ps4e4DFg2pnHvdvRm
Shady Shakedown,Number of furniture pieces you've found from shaking trees,5,1,10,20,50,100,300,1000,2000,3000,5000,0,Yes,1.0.0,o37WLZhgDMnMbDbPx
Golden Milestone,"Awarded for each unique golden tool you've equipped (shovel, net, fishing rod, watering can, axe, and slingshot)",6,0,0,0,0,0,300,500,1000,2000,3000,5000,No,1.0.0,B9uYNJkiP5jqkn3SX
Island and Yourland,Number of times you've visited another player's island (does not count mystery islands using Nook Miles Tickets),3,1,5,10,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,JofcHyqspqdvy92rH
Host the Most,Number of other players that have visited your island,3,1,5,10,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,YdeZW248LnovzB7EB
Active Island Resident,Number of total unique days you've played the game,5,3,20,50,100,300,300,500,1000,2000,3000,0,Yes,1.0.0,QgGe5XTYJhjfgbMHW
